S_000019.pdb     -499.251556 kBT
S_000025.pdb     -490.151279 kBT
S_000030.pdb     -483.584722 kBT
S_000024.pdb     -493.432713 kBT
S_000018.pdb     -482.020983 kBT
S_000026.pdb     -498.745866 kBT
S_000027.pdb     -466.696361 kBT
S_000023.pdb     -502.522491 kBT
S_000022.pdb     -507.483195 kBT
S_000020.pdb     -507.739233 kBT
S_000008.pdb     -486.017475 kBT
S_000009.pdb     -490.230815 kBT
S_000021.pdb     -467.349865 kBT
S_000004.pdb     -477.995711 kBT
S_000010.pdb     -463.835969 kBT
S_000011.pdb     -477.855202 kBT
S_000005.pdb     -469.339630 kBT
S_000013.pdb     -463.234051 kBT
S_000007.pdb     -483.473810 kBT
S_000006.pdb     -488.631598 kBT
S_000012.pdb     -523.911343 kBT
S_000016.pdb     -509.591163 kBT
S_000002.pdb     -463.652875 kBT
S_000003.pdb     -477.930321 kBT
S_000017.pdb     -537.459310 kBT
S_000001.pdb     -475.570906 kBT
S_000015.pdb     -503.722673 kBT
S_000029.pdb     -484.102716 kBT
S_000028.pdb     -485.420796 kBT
S_000014.pdb     -502.123589 kBT
