S_000046.pdb     -5722.458992 kBT
S_000052.pdb     -5307.826963 kBT
S_000085.pdb     -6113.600220 kBT
S_000091.pdb     -6489.654720 kBT
S_000090.pdb     -5450.087198 kBT
S_000084.pdb     -5978.093245 kBT
S_000053.pdb     -5343.467586 kBT
S_000047.pdb     -5481.487118 kBT
S_000079.pdb     -5827.567442 kBT
S_000051.pdb     -6206.781447 kBT
S_000045.pdb     -5297.505334 kBT
S_000092.pdb     -5685.717625 kBT
S_000086.pdb     -5939.712896 kBT
S_000087.pdb     -5667.814140 kBT
S_000093.pdb     -5647.483001 kBT
S_000044.pdb     -6610.631160 kBT
S_000050.pdb     -5652.027525 kBT
S_000078.pdb     -6020.546958 kBT
S_000054.pdb     -5826.471086 kBT
S_000040.pdb     -5272.747157 kBT
S_000068.pdb     -5170.104044 kBT
S_000097.pdb     -5747.657881 kBT
S_000083.pdb     -6218.167529 kBT
S_000082.pdb     -6017.641699 kBT
S_000096.pdb     -5802.013542 kBT
S_000069.pdb     -5800.052291 kBT
S_000041.pdb     -5446.205398 kBT
S_000055.pdb     -5292.746994 kBT
S_000043.pdb     -5273.638974 kBT
S_000057.pdb     -5613.946223 kBT
S_000080.pdb     -5921.596796 kBT
S_000094.pdb     -6076.314030 kBT
S_000095.pdb     -5840.961754 kBT
S_000081.pdb     -5724.278898 kBT
S_000056.pdb     -5666.012539 kBT
S_000042.pdb     -5621.157156 kBT
S_000019.pdb     -4802.146062 kBT
S_000025.pdb     -5528.504651 kBT
S_000031.pdb     -5519.027356 kBT
S_000030.pdb     -5922.104542 kBT
S_000024.pdb     -5772.913018 kBT
S_000018.pdb     -5647.036760 kBT
S_000032.pdb     -5395.689971 kBT
S_000026.pdb     -5866.309998 kBT
S_000027.pdb     -5597.213897 kBT
S_000033.pdb     -5490.354056 kBT
S_000037.pdb     -5815.453056 kBT
S_000023.pdb     -6305.987355 kBT
S_000022.pdb     -5438.327507 kBT
S_000036.pdb     -5360.671327 kBT
S_000020.pdb     -5922.188029 kBT
S_000034.pdb     -5827.202610 kBT
S_000008.pdb     -6295.963718 kBT
S_000009.pdb     -6281.975904 kBT
S_000035.pdb     -5485.154761 kBT
S_000021.pdb     -5522.556064 kBT
S_000038.pdb     -6078.688719 kBT
S_000004.pdb     -5715.711969 kBT
S_000010.pdb     -6611.484369 kBT
S_000011.pdb     -5523.747881 kBT
S_000005.pdb     -5613.471294 kBT
S_000039.pdb     -5573.101932 kBT
S_000013.pdb     -5359.509500 kBT
S_000007.pdb     -6211.620178 kBT
S_000006.pdb     -5088.169195 kBT
S_000012.pdb     -6128.597725 kBT
S_000016.pdb     -6151.034463 kBT
S_000002.pdb     -5874.908506 kBT
S_000003.pdb     -5884.580508 kBT
S_000017.pdb     -5957.242709 kBT
S_000001.pdb     -5806.704522 kBT
S_000015.pdb     -6026.940072 kBT
S_000029.pdb     -7208.175425 kBT
S_000028.pdb     -6017.688046 kBT
S_000014.pdb     -6349.066517 kBT
S_000067.pdb     -4969.600790 kBT
S_000073.pdb     -5747.024847 kBT
S_000098.pdb     -5880.994225 kBT
S_000099.pdb     -5830.509787 kBT
S_000072.pdb     -6405.283145 kBT
S_000066.pdb     -6295.313824 kBT
S_000058.pdb     -5760.074969 kBT
S_000070.pdb     -5541.794581 kBT
S_000064.pdb     -5044.747813 kBT
S_000065.pdb     -6019.643719 kBT
S_000071.pdb     -5474.948981 kBT
S_000059.pdb     -5938.636398 kBT
S_000075.pdb     -5965.040433 kBT
S_000061.pdb     -5842.076606 kBT
S_000049.pdb     -5900.204763 kBT
S_000048.pdb     -5607.291546 kBT
S_000060.pdb     -5799.923559 kBT
S_000074.pdb     -6079.029091 kBT
S_000100.pdb     -6107.933557 kBT
S_000062.pdb     -5302.042878 kBT
S_000076.pdb     -6163.715212 kBT
S_000089.pdb     -5816.354712 kBT
S_000088.pdb     -6687.050582 kBT
S_000077.pdb     -5332.800623 kBT
S_000063.pdb     -5630.444642 kBT
