S_000046.pdb     -244.024959 kBT
S_000052.pdb     -239.090543 kBT
S_000085.pdb     -252.514985 kBT
S_000091.pdb     -252.166745 kBT
S_000090.pdb     -244.946584 kBT
S_000084.pdb     -262.317541 kBT
S_000053.pdb     -242.836195 kBT
S_000047.pdb     -243.244202 kBT
S_000079.pdb     -238.375095 kBT
S_000051.pdb     -232.000818 kBT
S_000045.pdb     -246.386591 kBT
S_000092.pdb     -234.469628 kBT
S_000086.pdb     -260.014902 kBT
S_000087.pdb     -260.318828 kBT
S_000093.pdb     -231.073468 kBT
S_000044.pdb     -236.999943 kBT
S_000050.pdb     -225.477865 kBT
S_000078.pdb     -251.268383 kBT
S_000054.pdb     -223.956242 kBT
S_000040.pdb     -239.037975 kBT
S_000068.pdb     -217.326887 kBT
S_000097.pdb     -237.500626 kBT
S_000083.pdb     -244.759979 kBT
S_000082.pdb     -249.880261 kBT
S_000096.pdb     -237.808467 kBT
S_000069.pdb     -240.757803 kBT
S_000041.pdb     -242.980852 kBT
S_000055.pdb     -247.836077 kBT
S_000043.pdb     -244.107807 kBT
S_000057.pdb     -218.595289 kBT
S_000080.pdb     -246.283173 kBT
S_000094.pdb     -241.476840 kBT
S_000095.pdb     -236.085533 kBT
S_000081.pdb     -232.611806 kBT
S_000056.pdb     -233.951169 kBT
S_000042.pdb     -247.618033 kBT
S_000019.pdb     -215.106958 kBT
S_000025.pdb     -244.993667 kBT
S_000031.pdb     -230.105716 kBT
S_000030.pdb     -251.348533 kBT
S_000024.pdb     -244.094500 kBT
S_000018.pdb     -252.501323 kBT
S_000032.pdb     -239.394265 kBT
S_000026.pdb     -213.458296 kBT
S_000027.pdb     -229.732170 kBT
S_000033.pdb     -240.898412 kBT
S_000037.pdb     -246.712464 kBT
S_000023.pdb     -284.963789 kBT
S_000022.pdb     -244.804934 kBT
S_000036.pdb     -224.884592 kBT
S_000020.pdb     -236.228845 kBT
S_000034.pdb     -237.138646 kBT
S_000008.pdb     -236.235767 kBT
S_000009.pdb     -245.895109 kBT
S_000035.pdb     -261.255934 kBT
S_000021.pdb     -239.980301 kBT
S_000038.pdb     -239.718640 kBT
S_000004.pdb     -243.824772 kBT
S_000010.pdb     -258.843810 kBT
S_000011.pdb     -225.506606 kBT
S_000005.pdb     -236.438784 kBT
S_000039.pdb     -262.545169 kBT
S_000013.pdb     -223.166599 kBT
S_000007.pdb     -230.106400 kBT
S_000006.pdb     -225.726050 kBT
S_000012.pdb     -241.568781 kBT
S_000016.pdb     -253.484954 kBT
S_000002.pdb     -241.455295 kBT
S_000003.pdb     -226.813038 kBT
S_000017.pdb     -252.599240 kBT
S_000001.pdb     -255.562945 kBT
S_000015.pdb     -250.900471 kBT
S_000029.pdb     -265.809205 kBT
S_000028.pdb     -263.232274 kBT
S_000014.pdb     -256.214207 kBT
S_000067.pdb     -225.510330 kBT
S_000073.pdb     -251.598244 kBT
S_000098.pdb     -244.637031 kBT
S_000099.pdb     -247.081260 kBT
S_000072.pdb     -243.879471 kBT
S_000066.pdb     -254.897481 kBT
S_000058.pdb     -249.550003 kBT
S_000070.pdb     -224.791367 kBT
S_000064.pdb     -220.951852 kBT
S_000065.pdb     -259.329816 kBT
S_000071.pdb     -244.716104 kBT
S_000059.pdb     -263.870753 kBT
S_000075.pdb     -243.610020 kBT
S_000061.pdb     -259.334366 kBT
S_000049.pdb     -246.678273 kBT
S_000048.pdb     -251.294572 kBT
S_000060.pdb     -246.804764 kBT
S_000074.pdb     -237.486344 kBT
S_000100.pdb     -253.293403 kBT
S_000062.pdb     -230.661034 kBT
S_000076.pdb     -241.769842 kBT
S_000089.pdb     -229.081656 kBT
S_000088.pdb     -276.458440 kBT
S_000077.pdb     -228.162552 kBT
S_000063.pdb     -253.375121 kBT
